index,Unnamed: 0,file_number,hostname,sentence,roles_data,filtered_roles_data,n_roles,perspective,contains_quotes,sentence_length,gender,role_noun_set,role_noun
4008,3764752,9,www.mitchellforalderman.com,I have been proudly serving as the District 9 Alderman since April of 2018.,"[('alderman', 46, 54)]","[('alderman', 46, 54)]",1,COMPLETE_FIRST,0,15,masculine,alderperson,alderman
1823,1694728,4,billzstephens.com,A vote for me as your Ward 12 Alderman means you value each St. Louisian.,"[('alderman', 30, 38)]","[('alderman', 30, 38)]",1,COMPLETE_FIRST,0,16,masculine,alderperson,alderman
5753,5456415,13,www.genebarton.net,I served as an alderman in the 1980s and narrowly lost a mayoral race in 1989.,"[('alderman', 15, 23)]","[('alderman', 15, 23)]",1,COMPLETE_FIRST,0,17,masculine,alderperson,alderman
4104,3857857,9,itnyreforindiana.com,I was elected to be the Alderman of the 3rd district in Glascoff City in Comery County.,"[('alderman', 24, 32)]","[('alderman', 24, 32)]",1,COMPLETE_FIRST,0,18,masculine,alderperson,alderman
3278,3067159,7,mervmalish.com,"A few years later, I was elected alderman in that community.","[('alderman', 33, 41)]","[('alderman', 33, 41)]",1,COMPLETE_FIRST,0,13,masculine,alderperson,alderman
3466,3245943,8,egnerforaldermanatlarge.com,"I am running for Alderman At Large for the City of Horn Lake, Mississippi.","[('alderman', 17, 25)]","[('alderman', 17, 25)]",1,COMPLETE_FIRST,0,16,masculine,alderperson,alderman
2782,2578827,6,www.joyadass.com,I'm a TV anchor first.,"[('anchor', 9, 15)]","[('anchor', 9, 15)]",1,COMPLETE_FIRST,0,7,neutral,anchor,anchor
4999,4716095,11,emceemanoj.com,I am one of the most prominent anchors in all of central India.,"[('anchor', 31, 37)]","[('anchor', 31, 37)]",1,COMPLETE_FIRST,0,14,neutral,anchor,anchor
4443,4188930,10,www.alhurricanespears.com,"My focus is to keep time, I am the anchor that holds the whole thing together.","[('anchor', 35, 41)]","[('anchor', 35, 41)]",1,COMPLETE_FIRST,0,18,neutral,anchor,anchor
4587,4339584,10,thedigitalpassport.com,I could recite the latest stats and scores; I dreamed of being a SportsCenter anchor.,"[('anchor', 78, 84)]","[('anchor', 78, 84)]",1,COMPLETE_FIRST,0,17,neutral,anchor,anchor
1453,1330149,3,ericabusinesscoach.com,It all started in high school when I was chosen as anchor for the school’s morning video announcements.,"[('anchor', 51, 57)]","[('anchor', 51, 57)]",1,COMPLETE_FIRST,0,20,neutral,anchor,anchor
4661,4406646,11,www.atlanticspinners.com,I have worked as a radio presenter and event anchor in India.,"[('presenter', 25, 34), ('anchor', 45, 51)]","[('anchor', 45, 51)]",1,COMPLETE_FIRST,0,13,neutral,anchor,anchor
306,275363,0,brunnerkevin.com,"Shortly after graduation, I was hired as a television anchorman in a small Missouri college town.","[('anchorman', 54, 63)]","[('anchorman', 54, 63)]",1,COMPLETE_FIRST,0,18,masculine,anchor,anchorman
154,136326,0,presidentfreedom.com,A year later I was hired to a television channel as an anchorman.,"[('anchorman', 55, 64)]","[('anchorman', 55, 64)]",1,COMPLETE_FIRST,0,14,masculine,anchor,anchorman
1402,1280880,3,marydaphne.com,What enabled my two-year climb from amateur videographer to mainstream anchorwoman?,"[('videographer', 44, 56), ('anchorwoman', 71, 82)]","[('anchorwoman', 71, 82)]",1,COMPLETE_FIRST,0,14,feminine,anchor,anchorwoman
1403,1280882,3,marydaphne.com,"From there, I gradually worked my way up to anchorwoman for their daily world news segment.","[('anchorwoman', 44, 55)]","[('anchorwoman', 44, 55)]",1,COMPLETE_FIRST,0,18,feminine,anchor,anchorwoman
5055,4761962,11,williammccurdy.com,"As a state assemblyman, I introduced legislation impacting Education, Public Safety, Healthcare and Economic Development.","[('assemblyman', 11, 22)]","[('assemblyman', 11, 22)]",1,COMPLETE_FIRST,0,19,masculine,assemblyperson,assemblyman
2801,2592151,6,www.proofcocktails.nl,Being a barman broke my feet.,"[('barman', 8, 14)]","[('barman', 8, 14)]",1,COMPLETE_FIRST,0,7,masculine,bartender,barman
3334,3116106,7,www.thecorinthianclub.co.uk,"Can we extend a special thank you to Rory, our dedicated barman who was fab.","[('barman', 57, 63)]","[('barman', 57, 63)]",1,COMPLETE_FIRST,0,17,masculine,bartender,barman
5411,5108080,12,coronationstreetofold.wordpress.com,In 1979 I was working as a barman in a Dublin pub.,"[('barman', 27, 33)]","[('barman', 27, 33)]",1,COMPLETE_FIRST,0,13,masculine,bartender,barman
3051,2843753,7,laser24.co.uk,"Before Laser 24, I worked in Hospitality as a barman.","[('barman', 46, 52)]","[('barman', 46, 52)]",1,COMPLETE_FIRST,0,12,masculine,bartender,barman
3371,3153443,7,www.katekuss.com,"Back in the day, I was the bartender.","[('bartender', 27, 36)]","[('bartender', 27, 36)]",1,COMPLETE_FIRST,0,10,neutral,bartender,bartender
5196,4902618,11,wordsandotherthings.wordpress.com,I’ve always wanted to be a bartender.,"[('bartender', 27, 36)]","[('bartender', 27, 36)]",1,COMPLETE_FIRST,0,9,neutral,bartender,bartender
3864,3612228,8,www.monicaathome.com,I also was employed as a bartender on my breaks from exotic dancing.,"[('bartender', 25, 34)]","[('bartender', 25, 34)]",1,COMPLETE_FIRST,0,14,neutral,bartender,bartender
4223,3982643,9,fatgirldoestheworld.com,"In a past life I was a bartender, so I enjoy mixing flavor profiles to create fun cocktails.","[('bartender', 23, 32)]","[('bartender', 23, 32)]",1,COMPLETE_FIRST,0,20,neutral,bartender,bartender
4949,4665234,11,mamabyfire.wordpress.com,"I’m a former bartender in Seattle, so I have worked with all types of children.","[('bartender', 13, 22)]","[('bartender', 13, 22)]",1,COMPLETE_FIRST,0,18,neutral,bartender,bartender
3944,3708375,9,danmoralesauthor.com,"I've been a bouncer, a DJ, a bartender, sometimes all three on the same night.","[('bouncer', 12, 19), ('dj', 23, 25), ('bartender', 29, 38)]","[('bartender', 29, 38)]",1,COMPLETE_FIRST,0,20,neutral,bartender,bartender
3518,3293792,8,dukeefitness.com,"I wished I have more time to take care my health but my God, I am a businessman!","[('businessman', 68, 79)]","[('businessman', 68, 79)]",1,COMPLETE_FIRST,0,20,masculine,businessperson,businessman
1722,1598703,4,www.duvinpintorgloballife.com,It was a very helpful environment to grow up in that helped shape into the businessman I am today.,"[('businessman', 75, 86)]","[('businessman', 75, 86)]",1,COMPLETE_FIRST,0,20,masculine,businessperson,businessman
5516,5207620,12,alberthartmair.com,"When I worked as a businessman, I had daily the chance to wear fine clothes.","[('businessman', 19, 30)]","[('businessman', 19, 30)]",1,COMPLETE_FIRST,0,17,masculine,businessperson,businessman
736,644472,1,online-trading-to-win.blubrry.net,I’m a businessman who has owned several small companies.,"[('businessman', 6, 17)]","[('businessman', 6, 17)]",1,COMPLETE_FIRST,0,11,masculine,businessperson,businessman
24,24958,0,puertoricanrum.com,I am a global businessman.,"[('businessman', 14, 25)]","[('businessman', 14, 25)]",1,COMPLETE_FIRST,0,6,masculine,businessperson,businessman
76,67575,0,www.andyswi.com,"I am a diversely talented businessman, entrepreneur, and 2D/3D artist.","[('artist', 63, 69), ('3d artist', 60, 69), ('businessman', 26, 37), ('entrepreneur', 39, 51)]","[('businessman', 26, 37)]",1,COMPLETE_FIRST,0,13,masculine,businessperson,businessman
5308,4998197,12,www.kingscryptoconsultancy.com,"Besides being a businessperson, I trained as a Yoga teacher and Executive master life coach.","[('yoga teacher', 47, 59), ('teacher', 52, 59), ('life coach', 81, 91), ('coach', 86, 91), ('businessperson', 16, 30)]","[('businessperson', 16, 30)]",1,COMPLETE_FIRST,0,17,neutral,businessperson,businessperson
637,561486,1,cristeniris.com,Official Statement of Values I am an inclusive businessperson.,"[('businessperson', 47, 61)]","[('businessperson', 47, 61)]",1,COMPLETE_FIRST,0,10,neutral,businessperson,businessperson
2713,2531605,6,www.iprotecu.com,"I am a skilled presenter, negotiator, and businessperson, and adept at forging solid relationships.","[('presenter', 15, 24), ('businessperson', 42, 56)]","[('businessperson', 42, 56)]",1,COMPLETE_FIRST,0,18,neutral,businessperson,businessperson
4609,4366666,10,www.diygummies.com,"Despite successful stints as a professional Chef, businessperson, and non profit CEO, I hit a wall.","[('chef', 44, 48), ('ceo', 81, 84), ('businessperson', 50, 64)]","[('businessperson', 50, 64)]",1,COMPLETE_FIRST,0,20,neutral,businessperson,businessperson
5505,5200224,12,www.michaeloshry.ca,"I have spent most of my life as a businessperson and entrepreneur, building businesses small and large.","[('entrepreneur', 53, 65), ('businessperson', 34, 48)]","[('businessperson', 34, 48)]",1,COMPLETE_FIRST,0,19,neutral,businessperson,businessperson
3531,3304269,8,fourweekmba.com,I strive every day to be a better businessperson.,"[('businessperson', 34, 48)]","[('businessperson', 34, 48)]",1,COMPLETE_FIRST,0,10,neutral,businessperson,businessperson
5416,5112647,12,junewife627.blogspot.com,I am a psychologist as well as a businesswoman.,"[('psychologist', 7, 19), ('businesswoman', 33, 46)]","[('businesswoman', 33, 46)]",1,COMPLETE_FIRST,0,10,feminine,businessperson,businesswoman
3900,3642329,9,amyhudson.co,Letting go of that job meant fully stepping into my power as a businesswoman.,"[('businesswoman', 63, 76)]","[('businesswoman', 63, 76)]",1,COMPLETE_FIRST,0,15,feminine,businessperson,businesswoman
891,783010,1,www.karita.com.au,"To the outside world I looked the model of a confident, successful businesswoman.","[('businesswoman', 67, 80)]","[('businesswoman', 67, 80)]",1,COMPLETE_FIRST,0,15,feminine,businessperson,businesswoman
4902,4623066,11,alphadara.com,I am a Businesswoman.,"[('businesswoman', 7, 20)]","[('businesswoman', 7, 20)]",1,COMPLETE_FIRST,0,5,feminine,businessperson,businesswoman
