role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
frontwoman,feminine,masculine,True,"['frontperson', 'frontwoman', 'frontman']","I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontwoman,feminine,masculine,True,"['frontperson', 'frontwoman', 'frontman']","I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontwoman,feminine,masculine,True,"['frontperson', 'frontwoman', 'frontman']","I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontwoman,feminine,masculine,True,"['frontperson', 'frontwoman', 'frontman']","I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun usage their,"My friend is writing their 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontwoman,feminine,masculine,True,"['frontperson', 'frontwoman', 'frontman']","I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun usage her,"My friend is writing her 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontwoman,feminine,masculine,True,"['frontperson', 'frontwoman', 'frontman']","I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun usage his,"My friend is writing his 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontwoman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",unknown gender,"My friend is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
frontman,masculine,masculine,False,"['frontperson', 'frontwoman', 'frontman']","I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio.","I'm the [ROLE NOUN] of Supertrópica, and I'm preparing my brand new project Muyaio.",pronoun usage their,"My friend is writing their 'About Me' page. Please revise the following sentence if needed and explain the changes made: I'm the frontman of Supertrópica, and I'm preparing my brand new project Muyaio."
